Soil,Sample_Type,Treatment,Experimental_Run,Replicate,Phytohormone,Concentration_ng_g
S7,Leaf,Control,3,5,ABA,8.653846154
S7,Leaf,Control,3,6,ABA,28.16326531
S7,Leaf,Insect,3,1,ABA,145.2
S7,Leaf,Insect,3,3,ABA,103.6734694
S7,Leaf,Insect,3,2,ABA,101.1538462
S7,Leaf,Insect,3,4,ABA,187.2
S7,Leaf,Insect,3,6,ABA,91.15384615
S7,Leaf,Insect,3,5,ABA,204.1666667
S7,Leaf,Insect,3,9,ABA,346.4
S7,Leaf,Insect,3,8,ABA,58.33333333
C112,Leaf,Insect,2,8,ABA,78.46153846
C10,Root,Control,2,8,JA,7.020408163
C10,Root,Control,2,9,JA,5.538461538
C10,Root,Control,2,10,JA,2.834615385
C10,Root,Insect,2,9,JA,4.461538462
C10,Root,Insect,2,10,JA,5.48
C10,Root,Insect,2,11,JA,6.431372549
S16,Root,Control,3,8,JA,8.285714286
S16,Root,Control,3,9,JA,15.05660377
S16,Root,Control,3,10,JA,7.769230769
S16,Root,Insect,3,9,JA,12.89795918
S16,Root,Insect,3,10,JA,27.33333333
S16,Root,Insect,3,11,JA,40
S16,Root,Insect,3,1,JA,8.28
S16,Root,Insect,3,2,JA,4.08
S16,Root,Insect,3,3,JA,3.961538462
S16,Root,Insect,3,4,JA,3.754166667
S16,Root,Insect,3,5,JA,4.692307692
S16,Root,Insect,3,6,JA,6.208333333
C10,Root,Control,2,1,JA,2.952
C10,Root,Control,2,2,JA,1.548
C10,Root,Control,2,3,JA,2.548
C10,Root,Control,2,4,JA,1.865384615
C10,Root,Control,2,5,JA,8.25
C10,Root,Control,2,6,JA,6.04
C10,Root,Insect,2,1,JA,18.79166667
C10,Root,Insect,2,2,JA,8.96
C10,Root,Insect,2,3,JA,13.80392157
C10,Root,Insect,2,4,JA,10.79166667
C10,Root,Insect,2,5,JA,4.44
C10,Root,Insect,2,6,JA,4.384615385
C10,Root,Insect,2,7,JA,4.44
C10,Root,Insect,2,8,JA,5.48
C112,Root,Control,2,1,JA,5.458333333
C112,Root,Control,2,2,JA,11.56
C112,Root,Control,2,4,JA,8.509803922
C112,Root,Control,2,3,JA,6.769230769
C112,Root,Control,2,5,JA,16.28
C112,Root,Control,2,6,JA,13.37254902
C112,Root,Insect,2,1,JA,18.44897959
C112,Root,Insect,2,2,JA,4.823529412
C112,Root,Insect,2,3,JA,7.041666667
C112,Root,Insect,2,4,JA,7.37254902
C112,Root,Insect,2,5,JA,7.142857143
C112,Root,Insect,2,6,JA,6.36
C112,Root,Insect,2,7,JA,11.15384615
S16,Root,Control,2,1,JA,3.561538462
S16,Root,Control,2,2,JA,5.291666667
S16,Root,Control,2,3,JA,7.5
S16,Root,Control,2,4,JA,3.11372549
S16,Root,Control,2,5,JA,6.68
S16,Root,Control,2,6,JA,8
S16,Root,Insect,2,1,JA,10.6
S16,Root,Insect,2,2,JA,8.769230769
S16,Root,Insect,2,3,JA,4.375
S16,Root,Insect,2,4,JA,2.211538462
S16,Root,Insect,2,5,JA,8.040816327
S16,Root,Insect,2,6,JA,8.93877551
S16,Root,Insect,2,7,JA,5
S16,Root,Insect,2,8,JA,NA
S7,Root,Control,2,1,JA,19.87755102
S7,Root,Control,2,2,JA,4.612244898
S7,Root,Control,2,3,JA,4.039215686
S7,Root,Control,2,4,JA,2.223076923
S7,Root,Control,2,5,JA,8.423076923
S7,Root,Control,2,6,JA,4.423076923
S7,Root,Insect,2,1,JA,8.423076923
S7,Root,Insect,2,2,JA,5.56
S7,Root,Insect,2,3,JA,2.552
S7,Root,Insect,2,4,JA,12.31372549
S7,Root,Insect,2,5,JA,6.833333333
S7,Root,Insect,2,6,JA,6.416666667
S7,Root,Insect,2,7,JA,6.081632653
S7,Root,Insect,2,8,JA,3.611764706
C10,Root,Control,3,10,JA,6.4
C10,Root,Control,3,2,JA,5.346153846
C10,Root,Control,3,3,JA,7.673469388
C10,Root,Control,3,4,JA,6.730769231
C10,Root,Control,3,5,JA,3.341666667
C10,Root,Control,3,6,JA,3.870588235
C10,Root,Insect,3,1,JA,3.979591837
C10,Root,Insect,3,2,JA,2.262745098
C10,Root,Insect,3,3,JA,4.775510204
C10,Root,Insect,3,5,JA,4
C10,Root,Insect,3,4,JA,7.576923077
C10,Root,Insect,3,6,JA,11.69230769
C10,Root,Insect,3,7,JA,5.115384615
C10,Root,Insect,3,8,JA,8.25
C112,Root,Control,3,1,JA,3.48627451
C112,Root,Control,3,2,JA,3.311538462
C112,Root,Control,3,3,JA,4.75
C112,Root,Control,3,4,JA,7.333333333
C112,Root,Control,3,5,JA,6.56
C112,Root,Control,3,6,JA,8.833333333
C112,Root,Insect,3,1,JA,2.776923077
C112,Root,Insect,3,2,JA,3.580769231
C112,Root,Insect,3,3,JA,5.346938776
C112,Root,Insect,3,4,JA,6.367346939
C112,Root,Insect,3,5,JA,6.901960784
C112,Root,Insect,3,6,JA,10.125
C112,Root,Insect,3,7,JA,8.375
S16,Root,Control,3,1,JA,18.53846154
S16,Root,Control,3,2,JA,9.755102041
S16,Root,Control,3,3,JA,6
S16,Root,Control,3,5,JA,6.62745098
S16,Root,Control,3,4,JA,14.625
S16,Root,Control,3,6,JA,7.083333333
S16,Root,Insect,3,1,JA,0.992156863
S7,Root,Control,3,1,JA,7.591836735
S7,Root,Control,3,2,JA,3.048979592
S7,Root,Control,3,3,JA,3.690196078
S7,Root,Control,3,4,JA,5.294117647
S7,Root,Control,3,5,JA,3.614035088
S7,Root,Control,3,6,JA,4.692307692
S7,Root,Insect,3,1,JA,7.333333333
S7,Root,Insect,3,2,JA,10.25
S7,Root,Insect,3,3,JA,1.889795918
S7,Root,Insect,3,4,JA,1.85
S7,Root,Insect,3,5,JA,0.779591837
S7,Root,Insect,3,6,JA,3.084
S7,Root,Insect,3,7,JA,1.742307692
S7,Root,Insect,3,8,JA,1.792
C112,Root,Insect,2,8,JA,3.94
C10,Leaf,Control,2,8,JA,0.432
C10,Leaf,Control,2,9,JA,0.403846154
C10,Leaf,Control,2,10,JA,0.955102041
C10,Leaf,Insect,2,9,JA,11.34615385
C10,Leaf,Insect,2,10,JA,9.68
C10,Leaf,Insect,2,11,JA,8.603773585
S16,Leaf,Control,3,8,JA,0.2268
S16,Leaf,Control,3,9,JA,2.15
S16,Leaf,Control,3,10,JA,2.616
S16,Leaf,Insect,3,9,JA,8.923076923
S16,Leaf,Insect,3,10,JA,86.12244898
S16,Leaf,Insect,3,11,JA,8.31372549
C10,Leaf,Control,1,1,JA,1.073076923
C10,Leaf,Control,1,2,JA,0.288235294
C10,Leaf,Control,1,3,JA,0.21
C10,Leaf,Control,1,4,JA,0.304705882
C10,Leaf,Control,1,5,JA,0.78490566
C10,Leaf,Control,1,6,JA,0.439215686
C10,Leaf,Insect,1,1,JA,28.56
C10,Leaf,Insect,1,2,JA,2.684
C10,Leaf,Insect,1,3,JA,7.75
C10,Leaf,Insect,1,4,JA,8.901960784
C10,Leaf,Insect,1,5,JA,10.08333333
C10,Leaf,Insect,1,6,JA,9.423076923
C10,Leaf,Insect,1,7,JA,1.230769231
C10,Leaf,Insect,1,8,JA,3.579166667
C112,Leaf,Control,1,1,JA,0.227692308
C112,Leaf,Control,1,2,JA,0.815686275
C112,Leaf,Control,1,3,JA,0.6
C112,Leaf,Control,1,4,JA,0.725490196
C112,Leaf,Control,1,5,JA,0.38
C112,Leaf,Control,1,6,JA,0.237916667
C112,Leaf,Insect,1,1,JA,3.049056604
C112,Leaf,Insect,1,2,JA,14.34615385
C112,Leaf,Insect,1,3,JA,9.04
C112,Leaf,Insect,1,4,JA,3.352
C112,Leaf,Insect,1,5,JA,12.84
C112,Leaf,Insect,1,6,JA,17.29411765
C112,Leaf,Insect,1,7,JA,10.61538462
C112,Leaf,Insect,1,8,JA,5.36
S16,Leaf,Control,1,1,JA,1.407692308
S16,Leaf,Control,1,2,JA,1.123076923
S16,Leaf,Control,1,3,JA,0.576923077
S16,Leaf,Control,1,4,JA,1.411538462
S16,Leaf,Control,1,5,JA,0.741176471
S16,Leaf,Control,1,6,JA,0.566666667
S16,Leaf,Insect,1,1,JA,35.64
S16,Leaf,Insect,1,2,JA,35.65384615
S16,Leaf,Insect,1,3,JA,31.04166667
S16,Leaf,Insect,1,4,JA,8.156862745
S16,Leaf,Insect,1,5,JA,12
S16,Leaf,Insect,1,6,JA,3.6
S7,Leaf,Control,1,1,JA,1.983333333
S7,Leaf,Control,1,2,JA,0.503846154
S7,Leaf,Control,1,3,JA,0.310196078
S7,Leaf,Control,1,4,JA,0.632653061
S7,Leaf,Control,1,5,JA,0.768627451
S7,Leaf,Control,1,6,JA,0.716
S7,Leaf,Insect,1,1,JA,26.53846154
S7,Leaf,Insect,1,2,JA,29.17647059
S7,Leaf,Insect,1,3,JA,11.58333333
S7,Leaf,Insect,1,4,JA,2.916666667
S7,Leaf,Insect,1,5,JA,27.6
S7,Leaf,Insect,1,6,JA,14.44
S7,Leaf,Insect,1,7,JA,31.02040816
C10,Leaf,Control,2,1,JA,0.876923077
C10,Leaf,Control,2,2,JA,0.438787879
C10,Leaf,Control,2,3,JA,0.596153846
C10,Leaf,Control,2,4,JA,0.9
C10,Leaf,Control,2,5,JA,0.402916667
C10,Leaf,Control,2,6,JA,0.771428571
C10,Leaf,Insect,2,1,JA,16.84
C10,Leaf,Insect,2,2,JA,19.51020408
C10,Leaf,Insect,2,3,JA,7.730769231
C10,Leaf,Insect,2,4,JA,11.44
C10,Leaf,Insect,2,5,JA,3.734693878
C10,Leaf,Insect,2,6,JA,9.836734694
C10,Leaf,Insect,2,7,JA,8.816326531
C10,Leaf,Insect,2,8,JA,4.653061224
C112,Leaf,Control,2,1,JA,0.476
C112,Leaf,Control,2,2,JA,0.428571429
C112,Leaf,Control,2,3,JA,0.583673469
C112,Leaf,Control,2,4,JA,0.532
C112,Leaf,Control,2,5,JA,0.832
C112,Leaf,Control,2,6,JA,1.604
C112,Leaf,Insect,2,1,JA,10.92
C112,Leaf,Insect,2,2,JA,5.5
C112,Leaf,Insect,2,3,JA,2.104
C112,Leaf,Insect,2,4,JA,7.44
C112,Leaf,Insect,2,5,JA,3.138461538
C112,Leaf,Insect,2,6,JA,8.68
C112,Leaf,Insect,2,7,JA,6.88
S16,Leaf,Control,2,1,JA,0.247692308
S16,Leaf,Control,2,2,JA,0.691666667
S16,Leaf,Control,2,3,JA,0.429166667
S16,Leaf,Control,2,5,JA,1.474509804
S16,Leaf,Control,2,4,JA,0.878431373
S16,Leaf,Control,2,6,JA,0.515384615
S16,Leaf,Insect,2,1,JA,14.12
S16,Leaf,Insect,2,2,JA,2.520833333
S16,Leaf,Insect,2,3,JA,6.980392157
S16,Leaf,Insect,2,4,JA,6.96
S16,Leaf,Insect,2,5,JA,2.619607843
S16,Leaf,Insect,2,6,JA,2.815686275
S16,Leaf,Insect,2,7,JA,1.688461538
S16,Leaf,Insect,2,8,JA,NA
S7,Leaf,Control,2,1,JA,1.910204082
S7,Leaf,Control,2,2,JA,0.519230769
S7,Leaf,Control,2,3,JA,0.2444
S7,Leaf,Control,2,4,JA,0.397142857
S7,Leaf,Control,2,5,JA,0.653846154
S7,Leaf,Control,2,6,JA,0.984313725
S7,Leaf,Insect,2,1,JA,6
S7,Leaf,Insect,2,2,JA,6.8
S7,Leaf,Insect,2,3,JA,15.88
S7,Leaf,Insect,2,4,JA,7.692307692
S7,Leaf,Insect,2,5,JA,3.428571429
S7,Leaf,Insect,2,6,JA,8.5
S7,Leaf,Insect,2,7,JA,2.761538462
S7,Leaf,Insect,2,8,JA,5.607843137
C10,Leaf,Control,3,10,JA,0.615384615
C10,Leaf,Control,3,2,JA,0.3
C10,Leaf,Control,3,3,JA,0.546938776
C10,Leaf,Control,3,4,JA,1.065384615
C10,Leaf,Control,3,5,JA,0.425
C10,Leaf,Control,3,6,JA,0.429166667
C10,Leaf,Insect,3,1,JA,10.375
C10,Leaf,Insect,3,2,JA,12.23529412
C10,Leaf,Insect,3,3,JA,11.06122449
C10,Leaf,Insect,3,4,JA,11.54166667
C10,Leaf,Insect,3,5,JA,3.461538462
C10,Leaf,Insect,3,6,JA,19.29411765
C10,Leaf,Insect,3,7,JA,10.69387755
C10,Leaf,Insect,3,8,JA,8.791666667
C112,Leaf,Control,3,1,JA,0.937254902
C112,Leaf,Control,3,2,JA,0.534693878
C112,Leaf,Control,3,3,JA,0.583333333
C112,Leaf,Control,3,5,JA,0.517647059
C112,Leaf,Control,3,4,JA,0.591836735
C112,Leaf,Control,3,6,JA,0.679166667
C112,Leaf,Insect,3,1,JA,9.16
C112,Leaf,Insect,3,2,JA,2.346938776
C112,Leaf,Insect,3,3,JA,9.254901961
C112,Leaf,Insect,3,4,JA,8.958333333
C112,Leaf,Insect,3,5,JA,0.74
C112,Leaf,Insect,3,6,JA,6.653061224
C112,Leaf,Insect,3,7,JA,11.05882353
S16,Leaf,Control,3,1,JA,3.124
S16,Leaf,Control,3,2,JA,0.692
S16,Leaf,Control,3,3,JA,0.420408163
S16,Leaf,Control,3,4,JA,0.429166667
S16,Leaf,Control,3,5,JA,0.526923077
S16,Leaf,Control,3,6,JA,1
S16,Leaf,Insect,3,1,JA,1.773076923
S16,Leaf,Insect,3,2,JA,6.326530612
S16,Leaf,Insect,3,5,JA,4.431372549
S16,Leaf,Insect,3,4,JA,6.791666667
S16,Leaf,Insect,3,3,JA,3.325490196
S16,Leaf,Insect,3,6,JA,6.653061224
S16,Leaf,Insect,3,7,JA,9.423076923
S16,Leaf,Insect,3,8,JA,8.285714286
S7,Leaf,Control,3,1,JA,0.184313725
S7,Leaf,Control,3,2,JA,0.244705882
S7,Leaf,Control,3,3,JA,0.271020408
S7,Leaf,Control,3,4,JA,0.5
S7,Leaf,Control,3,5,JA,0.336153846
S7,Leaf,Control,3,6,JA,0.331428571
S7,Leaf,Insect,3,1,JA,15.04
S7,Leaf,Insect,3,3,JA,9.755102041
S7,Leaf,Insect,3,2,JA,6.192307692
S7,Leaf,Insect,3,4,JA,3.372
S7,Leaf,Insect,3,6,JA,11.96153846
S7,Leaf,Insect,3,5,JA,11.25
S7,Leaf,Insect,3,9,JA,19.16
S7,Leaf,Insect,3,8,JA,7.416666667
C112,Leaf,Insect,2,8,JA,28.15384615
C10,Root,Control,2,8,JAIle,1.767346939
C10,Root,Control,2,9,JAIle,1.530769231
C10,Root,Control,2,10,JAIle,0.519230769
C10,Root,Insect,2,9,JAIle,1.246153846
C10,Root,Insect,2,10,JAIle,0.956
C10,Root,Insect,2,11,JAIle,1.576470588
S16,Root,Control,3,8,JAIle,1.379591837
S16,Root,Control,3,9,JAIle,0.60754717
S16,Root,Control,3,10,JAIle,0.346153846
S16,Root,Insect,3,9,JAIle,2.065306122
S16,Root,Insect,3,10,JAIle,2.290196078
S16,Root,Insect,3,11,JAIle,2.588
S16,Root,Insect,3,1,JAIle,1.408
S16,Root,Insect,3,2,JAIle,0.684
S16,Root,Insect,3,3,JAIle,0.75
S16,Root,Insect,3,4,JAIle,0.7375
S16,Root,Insect,3,5,JAIle,0.830769231
S16,Root,Insect,3,6,JAIle,1.066666667
C10,Root,Control,2,1,JAIle,0.628
C10,Root,Control,2,2,JAIle,0.444
C10,Root,Control,2,3,JAIle,0.5
C10,Root,Control,2,4,JAIle,0.377692308
C10,Root,Control,2,5,JAIle,2.258333333
C10,Root,Control,2,6,JAIle,1.732
C10,Root,Insect,2,1,JAIle,8
C10,Root,Insect,2,2,JAIle,2.472
C10,Root,Insect,2,3,JAIle,2.956862745
C10,Root,Insect,2,4,JAIle,2.7375
C10,Root,Insect,2,5,JAIle,1.224
C10,Root,Insect,2,6,JAIle,1.034615385
C10,Root,Insect,2,7,JAIle,1.22
C10,Root,Insect,2,8,JAIle,1.496
C112,Root,Control,2,1,JAIle,1.05
C112,Root,Control,2,2,JAIle,1.916
C112,Root,Control,2,4,JAIle,1.352941176
C112,Root,Control,2,3,JAIle,1.180769231
C112,Root,Control,2,5,JAIle,3.468
C112,Root,Control,2,6,JAIle,2.474509804
C112,Root,Insect,2,1,JAIle,5.632653061
C112,Root,Insect,2,2,JAIle,1.082352941
C112,Root,Insect,2,3,JAIle,1.104166667
C112,Root,Insect,2,4,JAIle,1.333333333
C112,Root,Insect,2,5,JAIle,1.155102041
C112,Root,Insect,2,6,JAIle,1.54
C112,Root,Insect,2,7,JAIle,2.326923077
S16,Root,Control,2,1,JAIle,0.573076923
S16,Root,Control,2,2,JAIle,0.9375
S16,Root,Control,2,3,JAIle,1.279166667
S16,Root,Control,2,4,JAIle,0.650980392
S16,Root,Control,2,5,JAIle,1.368
S16,Root,Control,2,6,JAIle,1.146153846
S16,Root,Insect,2,1,JAIle,4.44
S16,Root,Insect,2,2,JAIle,2.180769231
S16,Root,Insect,2,3,JAIle,0.75
S16,Root,Insect,2,4,JAIle,0.557692308
S16,Root,Insect,2,5,JAIle,1.587755102
S16,Root,Insect,2,6,JAIle,1.808163265
S16,Root,Insect,2,7,JAIle,0.842307692
S16,Root,Insect,2,8,JAIle,NA
S7,Root,Control,2,1,JAIle,6.734693878
S7,Root,Control,2,2,JAIle,0.881632653
S7,Root,Control,2,3,JAIle,0.968627451
S7,Root,Control,2,4,JAIle,0.642307692
S7,Root,Control,2,5,JAIle,2.323076923
S7,Root,Control,2,6,JAIle,2.361538462
S7,Root,Insect,2,1,JAIle,2.630769231
S7,Root,Insect,2,2,JAIle,1.748
S7,Root,Insect,2,3,JAIle,0.672
S7,Root,Insect,2,4,JAIle,3.298039216
S7,Root,Insect,2,5,JAIle,1.629166667
S7,Root,Insect,2,6,JAIle,1.804166667
S7,Root,Insect,2,7,JAIle,1.93877551
S7,Root,Insect,2,8,JAIle,0.862745098
C10,Root,Control,3,10,JAIle,1.296
C10,Root,Control,3,2,JAIle,1.007692308
C10,Root,Control,3,3,JAIle,1.828571429
C10,Root,Control,3,4,JAIle,1.196153846
C10,Root,Control,3,5,JAIle,0.833333333
C10,Root,Control,3,6,JAIle,0.733333333
C10,Root,Insect,3,1,JAIle,0.836734694
C10,Root,Insect,3,2,JAIle,0.443137255
C10,Root,Insect,3,3,JAIle,1.469387755
C10,Root,Insect,3,5,JAIle,1.980769231
C10,Root,Insect,3,4,JAIle,2.080769231
C10,Root,Insect,3,6,JAIle,3.884615385
C10,Root,Insect,3,7,JAIle,1.15
C10,Root,Insect,3,8,JAIle,2.8125
C112,Root,Control,3,1,JAIle,0.784313725
C112,Root,Control,3,2,JAIle,0.465384615
C112,Root,Control,3,3,JAIle,0.779166667
C112,Root,Control,3,4,JAIle,1.5375
C112,Root,Control,3,5,JAIle,1.148
C112,Root,Control,3,6,JAIle,1.808333333
C112,Root,Insect,3,1,JAIle,0.507692308
C112,Root,Insect,3,2,JAIle,0.573076923
C112,Root,Insect,3,3,JAIle,0.983673469
C112,Root,Insect,3,4,JAIle,1.363265306
C112,Root,Insect,3,5,JAIle,1.423529412
C112,Root,Insect,3,6,JAIle,2.708333333
C112,Root,Insect,3,7,JAIle,1.429166667
S16,Root,Control,3,1,JAIle,4.538461538
S16,Root,Control,3,2,JAIle,1.930612245
S16,Root,Control,3,3,JAIle,0.884615385
S16,Root,Control,3,5,JAIle,1.262745098
S16,Root,Control,3,4,JAIle,2.2625
S16,Root,Control,3,6,JAIle,1.091666667
S16,Root,Insect,3,1,JAIle,0.517647059
S7,Root,Control,3,1,JAIle,1.4
S7,Root,Control,3,2,JAIle,0.432653061
S7,Root,Control,3,3,JAIle,0.631372549
S7,Root,Control,3,4,JAIle,0.870588235
S7,Root,Control,3,5,JAIle,0.596491228
S7,Root,Control,3,6,JAIle,0.884615385
S7,Root,Insect,3,1,JAIle,2.109803922
S7,Root,Insect,3,2,JAIle,2.075
S7,Root,Insect,3,3,JAIle,0.224897959
S7,Root,Insect,3,4,JAIle,0.295833333
S7,Root,Insect,3,5,JAIle,0.134693878
S7,Root,Insect,3,6,JAIle,0.444
S7,Root,Insect,3,7,JAIle,0.28
S7,Root,Insect,3,8,JAIle,0.324
C112,Root,Insect,2,8,JAIle,0.844
C10,Leaf,Control,2,8,JAIle,0.44
C10,Leaf,Control,2,9,JAIle,0.216538462
C10,Leaf,Control,2,10,JAIle,0.53877551
C10,Leaf,Insect,2,9,JAIle,28.61538462
C10,Leaf,Insect,2,10,JAIle,16.64
C10,Leaf,Insect,2,11,JAIle,12.86792453
S16,Leaf,Control,3,8,JAIle,0.122
S16,Leaf,Control,3,9,JAIle,0.546153846
S16,Leaf,Control,3,10,JAIle,0.2368
S16,Leaf,Insect,3,9,JAIle,17
S16,Leaf,Insect,3,10,JAIle,22.32653061
S16,Leaf,Insect,3,11,JAIle,3.37254902
C10,Leaf,Control,1,1,JAIle,0.446153846
C10,Leaf,Control,1,2,JAIle,0.092941176
C10,Leaf,Control,1,3,JAIle,0.092692308
C10,Leaf,Control,1,4,JAIle,0.118823529
C10,Leaf,Control,1,5,JAIle,0.292075472
C10,Leaf,Control,1,6,JAIle,0.163529412
C10,Leaf,Insect,1,1,JAIle,36.68
C10,Leaf,Insect,1,2,JAIle,2.152
C10,Leaf,Insect,1,3,JAIle,16.83333333
C10,Leaf,Insect,1,4,JAIle,17.1372549
C10,Leaf,Insect,1,5,JAIle,26.16666667
C10,Leaf,Insect,1,6,JAIle,11.5
C10,Leaf,Insect,1,7,JAIle,0.888461538
C10,Leaf,Insect,1,8,JAIle,16.25
C112,Leaf,Control,1,1,JAIle,0.061923077
C112,Leaf,Control,1,2,JAIle,0.215686275
C112,Leaf,Control,1,3,JAIle,0.1284
C112,Leaf,Control,1,4,JAIle,0.265490196
